file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",tokenVo,7
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",clientId,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",accountType,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",valueSerializer,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",params,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",accessToken,4
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",result,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",startEnds,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",size,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",obj,1
